country,purchasing_power_parity,foreign_exchangegold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_usable,total_population,available_manpower,fitforservice,reaching_mil_age_annually,active_personnel,reserve_personnel,paramilitary,air_force_personnel,army_personnel,navy_personnel,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_fixedwing,trainers,specialmission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,selfpropelled_artillery,towed_artillery,mlrs_rocket_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,natgas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports__trade_terminals,airports,roadway_coverage,railway_coverage,pwr_index
Brazil,"$4,165,000,000,000 USD","$329,732,000,000 USD","$26,400,000,000 USD","$198,582,000,000 USD","8,515,770 km","7,491 km","16,145 km","50,000 km","220,051,512","112,226,271","88,680,759","3,520,824","376,000","1,340,000","200,000","81,000","1,212,217","80,505","3,476,376","Stock: 495			
Readiness: 322*","Stock: 44 (8.9%)

Readiness: 29*","Stock: 30 (6.1%)

Readiness: 20*","Stock: 107 (21.6%)

Readiness: 70*","Stock: 124 (25.1%)

Readiness: 81*","Stock: 25 (5.1%)

Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 186 (37.6%)

Readiness: 121*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 294				
Readiness: 191*","Stock: 22,464            	
Readiness: 14,602*","Stock: 149				
Readiness: 97*","Stock: 412				
Readiness: 268*","Stock: 82				
Readiness: 53*",0.0,1.0,0.0,8.0,2.0,6.0,22.0,4.0,"4,221,000 bbl","3,163,000 bbl","+1,058,000 bbl","12,715,000,000 bbl","22,670,000,000 cu.m","31,654,000,000 cu.m","-8,984,000,000 cu.m","363,985,000,000 cu.m","15,556,000 mt","32,223,000 mt","-16,667,000 mt","6,596,000,000 mt",84.0%,"106,790,000",888,45,"5,297","2,000,000 km","29,850 km",0.2374
Germany,"$5,247,000,000,000 USD","$377,936,000,000 USD","$127,400,090,000 USD","$6,862,470,230,000 USD","357,022 km","2,389 km","3,694 km","7,300 km","84,119,100","38,694,786","30,955,829","841,191","184,324","860,000",0,"27,725","63,000","15,531","830,571","Stock: 569			
Readiness: 427*","Stock: 127 (22.3%)

Readiness: 95*","Stock: 63 (11.1%)

Readiness: 47*","Stock: 55 (9.7%)

Readiness: 41*","Stock: 16 (2.8%)

Readiness: 12*","Stock: 27 (4.7%)

Readiness: 20*","Stock: 3 (0.5%)

Readiness: 2*","Stock: 292 (51.3%)

Readiness: 219*","Stock: 49 (8.6%)

Readiness: 37*","Stock: 296				
Readiness: 222*","Stock: 87,338            	
Readiness: 65,504*","Stock: 134				
Readiness: 101*","Stock: 0				
Readiness: 0*","Stock: 33				
Readiness: 25*",0.0,0.0,0.0,11.0,6.0,6.0,54.0,12.0,"131,000 bbl","2,062,000 bbl","-1,931,000 bbl","115,200,000 bbl","4,824,000,000 cu.m","77,516,000,000 cu.m","-72,692,000,000 cu.m","23,390,000,000 cu.m","109,741,000 mt","140,994,000 mt","-31,253,000 mt","35,400,000,000 mt",94.0%,"43,772,000",595,35,840,"830,000 km","39,379 km",0.2463
Indonesia,"$4,102,000,000,000 USD","$155,708,000,000 USD","$11,155,297,716 USD","$225,273,000,000 USD","1,904,569 km","54,716 km","2,958 km","21,579 km","281,562,465","137,965,608","114,595,923","4,786,562","404,500","401,000","250,000","30,100","300,400","66,034","4,726,134","Stock: 460			
Readiness: 299*","Stock: 41 (8.9%)

Readiness: 27*","Stock: 34 (7.4%)

Readiness: 22*","Stock: 73 (15.9%)

Readiness: 47*","Stock: 114 (24.8%)

Readiness: 74*","Stock: 15 (3.3%)

Readiness: 10*","Stock: 1 (0.2%)

Readiness: 1*","Stock: 212 (46.1%)

Readiness: 138*","Stock: 15 (3.3%)

Readiness: 10*","Stock: 331				
Readiness: 215*","Stock: 28,064            	
Readiness: 18,242*","Stock: 153				
Readiness: 99*","Stock: 396				
Readiness: 257*","Stock: 67				
Readiness: 44*",0.0,0.0,0.0,10.0,26.0,4.0,211.0,10.0,"865,000 bbl","1,645,000 bbl","-780,000 bbl","2,480,000,000 bbl","57,410,000,000 cu.m","36,061,000,000 cu.m","+21,349,000,000 cu.m","1,408,000,000,000 cu.m","783,453,000 mt","281,159,000 mt","+502,294,000 mt","35,055,000,000 mt",69.0%,"143,144,000","11,422",123,556,"496,607 km","8,159 km",0.2582
Pakistan,"$1,390,000,000,000 USD","$18,408,000,000 USD","$9,102,115,350 USD","$89,148,000,000 USD","796,095 km","1,046 km","7,257 km",0 km,"252,363,571","108,516,336","85,803,614","4,794,908","660,000","550,000","500,000","78,000","1,311,500","57,500","4,734,375","Stock: 1,397			
Readiness: 908*","Stock: 331 (23.7%)

Readiness: 215*","Stock: 90 (6.4%)

Readiness: 59*","Stock: 63 (4.5%)

Readiness: 41*","Stock: 563 (40.3%)

Readiness: 366*","Stock: 27 (1.9%)

Readiness: 18*","Stock: 4 (0.3%)

Readiness: 3*","Stock: 379 (27.1%)

Readiness: 246*","Stock: 55 (3.9%)

Readiness: 36*","Stock: 2,677				
Readiness: 1,740*","Stock: 59,044            	
Readiness: 38,379*","Stock: 662				
Readiness: 430*","Stock: 2,629				
Readiness: 1,709*","Stock: 652				
Readiness: 424*",0.0,0.0,0.0,9.0,6.0,8.0,79.0,3.0,"91,000 bbl","645,000 bbl","-554,000 bbl","540,000,000 bbl","36,937,000,000 cu.m","46,448,000,000 cu.m","-9,511,000,000 cu.m","592,219,000,000 cu.m","13,765,000 mt","30,191,000 mt","-16,426,000 mt","2,857,000,000 mt",27.0%,"83,644,000",60,3,117,"264,175 km","11,881 km",0.2626
Israel,"$472,177,000,000 USD","$214,544,000,000 USD","$34,600,000,000 USD","$163,350,000,000 USD","21,937 km",273 km,"1,068 km",0 km,"9,402,617","3,949,099","3,281,513","131,637","169,500","465,000","35,000","89,000","526,000","19,500","129,975","Stock: 597			
Readiness: 478*","Stock: 239 (40.0%)

Readiness: 191*","Stock: 45 (7.5%)

Readiness: 36*","Stock: 14 (2.3%)

Readiness: 11*","Stock: 148 (24.8%)

Readiness: 118*","Stock: 19 (3.2%)

Readiness: 15*","Stock: 13 (2.2%)

Readiness: 10*","Stock: 127 (21.3%)

Readiness: 102*","Stock: 48 (8.0%)

Readiness: 38*","Stock: 1,300				
Readiness: 1,040*","Stock: 62,380            	
Readiness: 49,904*","Stock: 323				
Readiness: 258*","Stock: 171				
Readiness: 137*","Stock: 228				
Readiness: 182*",0.0,0.0,0.0,0.0,7.0,6.0,66.0,0.0,"15,000 bbl","219,000 bbl","-204,000 bbl","12,730,000 bbl","22,886,000,000 cu.m","11,510,000,000 cu.m","+11,376,000,000 cu.m","176,018,000,000 cu.m",0 mt,"5,297,000 mt","-5,297,000 mt",0 mt,87.0%,"4,710,000",41,5,40,"20,391 km","1,497 km",0.2707
Iran,"$1,486,000,000,000 USD","$120,600,000,000 USD","$9,230,000,000 USD","$6,759,000,000 USD","1,648,195 km","2,440 km","5,894 km",850 km,"88,386,937","49,496,685","41,541,860","1,414,191","610,000","350,000","220,000","37,000","350,000","20,000","1,396,338","Stock: 551			
Readiness: 303*","Stock: 188 (34.1%)

Readiness: 103*","Stock: 21 (3.8%)

Readiness: 12*","Stock: 86 (15.6%)

Readiness: 47*","Stock: 103 (18.7%)

Readiness: 57*","Stock: 10 (1.8%)

Readiness: 6*","Stock: 6 (1.1%)

Readiness: 3*","Stock: 129 (23.4%)

Readiness: 71*","Stock: 13 (2.4%)

Readiness: 7*","Stock: 2,675				
Readiness: 1,605*","Stock: 75,939            	
Readiness: 45,563*","Stock: 424				
Readiness: 254*","Stock: 1,803				
Readiness: 1,082*","Stock: 1,550				
Readiness: 930*",0.0,0.0,0.0,7.0,3.0,25.0,21.0,1.0,"4,112,000 bbl","2,415,000 bbl","+1,697,000 bbl","208,600,000,000 bbl","263,280,000,000 cu.m","244,890,000,000 cu.m","+18,390,000,000 cu.m","33,987,000,000,000 cu.m","2,209,000 mt","3,032,000 mt","-823,000 mt","1,203,000,000 mt",80.0%,"28,575,000",965,18,177,"223,485 km","8,484 km",0.3199
Australia,"$1,635,000,000,000 USD","$60,404,000,000 USD","$57,350,000,000 USD","$3,770,254,730,000 USD","7,741,220 km","25,760 km",NONE - ISLAND,"2,000 km","26,768,598","11,242,811","9,208,398","294,455","58,910","33,270",0,"21,584","44,235","20,607","290,738","Stock: 348			
Readiness: 261*","Stock: 24 (6.9%)

Readiness: 18*","Stock: 71 (20.4%)

Readiness: 53*","Stock: 37 (10.6%)

Readiness: 28*","Stock: 107 (30.7%)

Readiness: 80*","Stock: 31 (8.9%)

Readiness: 23*","Stock: 6 (1.7%)

Readiness: 5*","Stock: 72 (20.7%)

Readiness: 54*","Stock: 22 (6.3%)

Readiness: 17*","Stock: 46				
Readiness: 35*","Stock: 17,118            	
Readiness: 12,839*","Stock: 0				
Readiness: 0*","Stock: 48				
Readiness: 36*","Stock: 8				
Readiness: 6*",0.0,2.0,3.0,7.0,0.0,6.0,13.0,3.0,"386,000 bbl","1,151,000 bbl","-765,000 bbl","2,446,000,000 bbl","153,783,000,000 cu.m","50,188,000,000 cu.m","+103,595,000,000 cu.m","3,228,000,000,000 cu.m","445,077,000 mt","95,667,000 mt","+349,410,000 mt","149,472,000,000 mt",97.0%,"14,912,000",604,66,"2,257","873,573 km","32,606 km",0.3208
Spain,"$2,361,000,000,000 USD","$107,774,000,000 USD","$39,000,676,350 USD","$2,830,012,130,000 USD","505,370 km","4,964 km","1,953 km","1,000 km","47,280,433","21,748,999","17,635,602","330,963","121,802","24,033","78,470","23,000","85,978","20,840","326,785","Stock: 440			
Readiness: 286*","Stock: 136 (30.9%)

Readiness: 88*","Stock: 12 (2.7%)

Readiness: 8*","Stock: 51 (11.6%)

Readiness: 33*","Stock: 108 (24.5%)

Readiness: 70*","Stock: 8 (1.8%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 169 (38.4%)

Readiness: 110*","Stock: 17 (3.9%)

Readiness: 11*","Stock: 298				
Readiness: 209*","Stock: 49,324            	
Readiness: 34,527*","Stock: 96				
Readiness: 67*","Stock: 188				
Readiness: 132*","Stock: 0				
Readiness: 0*",1.0,0.0,0.0,11.0,0.0,2.0,112.0,6.0,"47,000 bbl","1,325,000 bbl","-1,278,000 bbl","150,000,000 bbl","41,009,000 cu.m","32,833,000,000 cu.m","-32,791,991,000 cu.m","2,549,000,000 cu.m","1,280,000 mt","7,388,000 mt","-6,108,000 mt","1,187,000,000 mt",95.0%,"24,386,000",503,52,365,"150,110 km","15,489 km",0.3247
Egypt,"$1,958,000,000,000 USD","$44,921,000,000 USD","$5,193,500,000 USD","$117,272,000,000 USD","1,001,450 km","2,450 km","2,612 km","3,500 km","111,247,248","45,611,372","38,269,053","1,668,709","438,500","479,000","300,000","50,000","685,000","50,000","1,647,643","Stock: 1,088			
Readiness: 707*","Stock: 242 (22.2%)

Readiness: 157*","Stock: 90 (8.3%)

Readiness: 59*","Stock: 53 (4.9%)

Readiness: 34*","Stock: 344 (31.6%)

Readiness: 224*","Stock: 11 (1.0%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 348 (32.0%)

Readiness: 226*","Stock: 100 (9.2%)

Readiness: 65*","Stock: 3,620				
Readiness: 2,534*","Stock: 54,694            	
Readiness: 38,286*","Stock: 1,056				
Readiness: 739*","Stock: 962				
Readiness: 673*","Stock: 648				
Readiness: 454*",0.0,2.0,0.0,13.0,7.0,8.0,61.0,17.0,"667,000 bbl","830,000 bbl","-163,000 bbl","3,300,000,000 bbl","64,817,000,000 cu.m","60,089,000,000 cu.m","+4,728,000,000 cu.m","1,784,000,000,000 cu.m","69,000 mt","3,262,000 mt","-3,193,000 mt","182,000,000 mt",73.0%,"33,749,000",441,31,73,"65,050 km","5,085 km",0.3651
Ukraine,"$577,583,000,000 USD","$43,781,000,000 USD","$45,000,000,000 USD","$90,003,000,000 USD","603,550 km","2,782 km","5,581 km","1,672 km","35,661,826","18,187,531","12,731,272","392,280","900,000","4,000,000","100,000","35,000","250,000","11,000","387,328","Stock: 347			
Readiness: 191*","Stock: 88 (25.4%)

Readiness: 48*","Stock: 30 (8.6%)

Readiness: 17*","Stock: 22 (6.3%)

Readiness: 12*","Stock: 72 (20.7%)

Readiness: 40*","Stock: 5 (1.4%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 140 (40.3%)

Readiness: 77*","Stock: 39 (11.2%)

Readiness: 21*","Stock: 1,121				
Readiness: 729*","Stock: 45,458            	
Readiness: 29,548*","Stock: 682				
Readiness: 443*","Stock: 625				
Readiness: 406*","Stock: 288				
Readiness: 187*",0.0,0.0,0.0,0.0,0.0,0.0,133.0,5.0,"3,000 bbl","192,000 bbl","-189,000 bbl","395,000,000 bbl","18,725,000,000 cu.m","22,856,000,000 cu.m","-4,131,000,000 cu.m","1,104,000,000,000 cu.m","19,603,000 mt","25,012,000 mt","-5,409,000 mt","34,375,000,000 mt",82.0%,"20,539,000",410,26,152,"169,694 km","21,733 km",0.3691
